Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,Precision(1),Recall(1),F1-Score(1),Precision(0),Recall(0),F2-Score,Custom Score,PScore,Customer Retained per $100
Logistic Regression,Original,Baseline,0.5,0.7771376923919298,0.7135,0.38722826086956524,0.7002457002457002,0.49868766404199477,0.9034810126582279,0.7168863779033271,0.6027918781725888,27.115492468753338,10.499884991297149,38.72282608695652
Logistic Regression,Original,Tuned - Rank 1,0.5,0.7702664143342108,0.8095,0.6326530612244898,0.15233415233415235,0.24554455445544554,0.8186119873817035,0.9774011299435028,0.17960602549246812,9.637466780323924,6.097172861021258,63.26530612244898
Logistic Regression,Original,Tuned - Rank 2,0.5,0.7596595054222173,0.8065,0.5892857142857143,0.16216216216216217,0.2543352601156069,0.819385593220339,0.9711236660389203,0.1896551724137931,9.555984555984557,5.631205184776614,58.92857142857143
Logistic Regression,Original,Tuned - Rank 3,0.5,0.7743413675617066,0.809,0.6086956521739131,0.171990171990172,0.2681992337164751,0.8212201591511936,0.9717514124293786,0.20080321285140562,10.468966990706122,6.372414689995032,60.86956521739131
KNN,Original,Baseline,0.5,0.7530758801945242,0.824,0.6222222222222222,0.343980343980344,0.4430379746835443,0.8495774647887324,0.9466415568110483,0.37776578521316784,21.403221403221405,13.317559984226651,62.22222222222222
KNN,Original,Tuned - Rank 1,0.5,0.728727186354305,0.8125,0.5555555555555556,0.3931203931203931,0.460431654676259,0.8557242990654206,0.9196484620213434,0.4175365344467641,21.84002184002184,12.1333454666788,55.55555555555556
KNN,Original,Tuned - Rank 2,0.5,0.7361043632230072,0.812,0.5532646048109966,0.3955773955773956,0.46131805157593125,0.8560561732007022,0.9183929692404269,0.4194893173527879,21.885897143629105,12.108692234104076,55.32646048109966
KNN,Original,Tuned - Rank 3,0.5,0.7323224611360206,0.8125,0.5583941605839416,0.3759213759213759,0.44933920704845814,0.8528389339513326,0.9240426867545511,0.4022082018927445,20.99123011531771,11.721380319867189,55.839416058394164
Decision Tree,Original,Baseline,0.5,0.6566242667937583,0.775,0.44819277108433736,0.457002457002457,0.45255474452554745,0.8605678233438486,0.8562460765850597,0.4552129221732746,20.482519759628193,9.180117289857456,44.81927710843374
Decision Tree,Original,Tuned - Rank 1,0.5,0.8450977942503366,0.857,0.7429718875502008,0.45454545454545453,0.5640243902439024,0.8732153055396916,0.9598242310106717,0.4928076718167288,33.771449434100035,25.09123753135946,74.29718875502009
Decision Tree,Original,Tuned - Rank 1,0.5,0.8452134723321164,0.857,0.7429718875502008,0.45454545454545453,0.5640243902439024,0.8732153055396916,0.9598242310106717,0.4928076718167288,33.771449434100035,25.09123753135946,74.29718875502009
Decision Tree,Original,Tuned - Rank 3,0.5,0.8422536558129778,0.8535,0.7688679245283019,0.4004914004914005,0.5266558966074314,0.8635346756152126,0.9692404268675455,0.4429347826086957,30.792499188725603,23.67536494227487,76.88679245283019
Random Forest,Original,Baseline,0.5,0.8528983528983529,0.86,0.7702127659574468,0.44471744471744473,0.5638629283489096,0.8719546742209632,0.9661016949152542,0.4857756307031669,34.252705316535106,26.381870903373844,77.02127659574468
Random Forest,Original,Tuned - Rank 1,0.5,0.8647075426736444,0.866,0.8202764976958525,0.43734643734643736,0.5705128205128205,0.8715647784632642,0.975517890772128,0.4823848238482385,35.87450039062942,29.427009537013998,82.02764976958525
Random Forest,Original,Tuned - Rank 2,0.5,0.8638253045032706,0.866,0.8061674008810573,0.44963144963144963,0.5772870662460567,0.8736604624929498,0.9723791588198368,0.49326145552560646,36.247821710376776,29.22181221585441,80.61674008810573
Random Forest,Original,Tuned - Rank 3,0.5,0.8643003558257796,0.867,0.8190045248868778,0.44471744471744473,0.5764331210191083,0.8729623383923553,0.9748901443816698,0.48945375878853437,36.422559951971714,29.830241408628417,81.90045248868778
AdaBoost,Original,Baseline,0.5,0.8481123650615177,0.86,0.7634854771784232,0.4520884520884521,0.5679012345679012,0.8732234223990903,0.9642184557438794,0.4922418405564473,34.51629675696066,26.352691299920174,76.34854771784232
AdaBoost,Original,Tuned - Rank 1,0.5,0.8505508590254353,0.855,0.7127272727272728,0.48157248157248156,0.5747800586510264,0.8776811594202899,0.9504080351537979,0.5149763531266421,34.32298414116596,24.46292687879465,71.27272727272728
AdaBoost,Original,Tuned - Rank 2,0.5,0.8481123650615177,0.86,0.7634854771784232,0.4520884520884521,0.5679012345679012,0.8732234223990903,0.9642184557438794,0.4922418405564473,34.51629675696066,26.352691299920174,76.34854771784232
AdaBoost,Original,Tuned - Rank 3,0.5,0.8490501287111456,0.8515,0.6923076923076923,0.4864864864864865,0.5714285714285714,0.8780630105017503,0.9447583176396736,0.5172413793103449,33.679833679833685,23.316807932192546,69.23076923076923
XGBoost,Original,Baseline,0.5,0.8357602594890731,0.8225,0.5575221238938053,0.6191646191646192,0.5867287543655413,0.8998708010335917,0.874450721908349,0.6057692307692307,34.519797351655754,19.245550735878872,55.75221238938053
XGBoost,Original,Tuned - Rank 1,0.5,0.866671756502265,0.8695,0.8230088495575221,0.457002457002457,0.5876777251184834,0.8754227733934611,0.9748901443816698,0.5016181229773463,37.61170663825531,30.95476741024552,82.30088495575221
XGBoost,Original,Tuned - Rank 2,0.5,0.8673743080522743,0.869,0.7911646586345381,0.48402948402948404,0.600609756097561,0.8800685322672759,0.9673571876961707,0.5247735748534896,38.29470215012383,30.297414954114032,79.11646586345381
XGBoost,Original,Tuned - Rank 3,0.5,0.8589359775800454,0.864,0.8534031413612565,0.4004914004914005,0.5451505016722408,0.865118850193477,0.9824231010671689,0.4480483782297966,34.178061926753024,29.16766541393059,85.34031413612566
LightGBM,Original,Baseline,0.5,0.8619096754689974,0.816,0.5351351351351351,0.7297297297297297,0.6174636174636174,0.9238754325259516,0.8380414312617702,0.6802565277141548,39.05040175310445,20.89724201922887,53.51351351351351
